Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
A Journey of Samyak Buddha,2013.0,127.0,269,7.3,17.0,1899,740,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996.0,52.0,241,6.4,7.0,2266,97,Ajay Mehta,0
A New Love Ishtory,2013.0,140.0,409,6.0,80.0,1120,1780,Gurpreet Kaur Chadha,Smita Jaykar
A Rifle and a Bag,2020.0,89.0,241,6.8,15.0,606,855,Arya Rothe,0
A Scandall,2016.0,112.0,427,3.1,142.0,1000,940,Reeth Mazumder-Roberts,Manav Kaul
A Strange Love Story,2011.0,0.0,269,3.8,15.0,2894,1921,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,2005.0,143.0,327,3.8,627.0,2790,509,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,2017.0,90.0,241,6.9,337.0,2497,2168,Sima Taparia,0
A Thin Line,2019.0,104.0,269,7.9,24.0,3001,2368,Rahul Roy,Akansha Shivhare
A Treasure in the Snow,2002.0,0.0,241,6.9,8.0,856,0,0,0
A Wednesday,2008.0,104.0,29,8.1,75118.0,1697,297,Naseeruddin Shah,Jimmy Sheirgill
Aa Ab Laut Chalen,1999.0,177.0,397,5.5,1621.0,2256,1703,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018.0,121.0,269,8.0,249.0,2189,2116,Sajid Ali,Tamannaah Bhatia
Aa Dekhen Zara,2009.0,117.0,83,5.0,866.0,1094,1450,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973.0,148.0,50,7.2,348.0,1483,2083,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994.0,158.0,403,4.4,115.0,899,949,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017.0,123.0,1,2.7,339.0,735,768,Richa Sharma,Poonam Pandey
Aa Jao Please,2016.0,120.0,269,6.8,16.0,424,1445,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,1999.0,0.0,1,4.9,28.0,2865,1305,Jackie Shroff,Sneha
Aabra Ka Daabra,2004.0,144.0,350,2.4,264.0,697,1421,Prabhu Deva,Satish Kaushik
Aabroo,1968.0,170.0,165,5.5,21.0,557,377,Vimi,Rehman
Aabroo,1943.0,0.0,0,5.2,5.0,1692,0,0,0
Aabshar,1953.0,0.0,327,5.0,5.0,928,838,Kuldip Kaur,Raaj Kumar
Aadab Arz,1943.0,0.0,0,5.2,5.0,2954,1385,Mukesh,0
Aadamkhor,1986.0,0.0,1,5.5,6.0,1115,2182,Joginder Shelly,Neelam Mehra
Aadamkhor,2018.0,72.0,363,7.4,150.0,1337,614,Anoma Pabuwal,Mahendra Singh Rawat
Aadat Se Majboor,1982.0,105.0,29,5.5,28.0,188,1305,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977.0,132.0,1,5.1,18.0,742,884,Vinod Khanna,Shabana Azmi
Aadhaar,2019.0,107.0,269,7.6,69.0,2775,2483,Saurabh Shukla,Raghuvir Yadav
Aadharshila,1982.0,154.0,269,6.4,19.0,370,681,Raja Bundela,Neena Gupta
Aadhi Bhagavan,2013.0,157.0,38,5.4,568.0,189,905,Neetu Chandra,Sudha Chandran
Aadhi Mimansa,1991.0,0.0,0,6.2,9.0,311,1315,Neena Gupta,Ashok Kumar
Aadhi Raat,1950.0,115.0,327,6.7,9.0,2328,563,Jeevan,Kuldip Kaur
Aadmi,1968.0,175.0,327,6.8,196.0,1,658,Waheeda Rehman,Manoj Kumar
Aadmi,1993.0,153.0,29,6.5,97.0,335,119,Vikas Anand,Arjun
Aadmi Aur Apsara,1991.0,142.0,350,6.7,66.0,1012,963,Chiranjeevi,Amrish Puri
Aadmi Aur Insaan,1969.0,168.0,331,6.2,149.0,3106,632,Saira Banu,Feroz Khan
Aadmi Khilona Hai,1993.0,158.0,327,5.0,142.0,1012,920,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,2009.0,78.0,269,7.6,62.0,196,376,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,1977.0,138.0,282,5.4,34.0,681,2085,Vikram Makandar,Zaheera
Aadupuliyattam,2016.0,145.0,363,4.2,266.0,1232,911,Ramya Krishnan,Om Puri
Aafat,1977.0,148.0,218,5.3,17.0,407,1426,Leena Chandavarkar,Jayshree T.
Aag,1948.0,138.0,396,7.4,357.0,2011,1401,Kamini Kaushal,Nigar Sultana
Aag,1967.0,0.0,39,6.2,29.0,1675,715,Mumtaz,Achala Sachdev
Aag,1994.0,139.0,20,4.6,227.0,1160,768,Shilpa Shetty Kundra,Sonali Bendre
Aag Andhi Aur Toofan,1994.0,0.0,84,3.1,11.0,1234,198,Mukesh Khanna,Kiran Kumar
Aag Aur Chingari,1994.0,133.0,1,4.1,13.0,1234,172,Aparajita,Asrani
Aag Aur Daag,1970.0,0.0,20,3.7,14.0,6,946,Poonam Sinha,Master Bhagwan
Aag Aur Shola,1986.0,0.0,50,4.1,42.0,1147,920,Sridevi,Mandakini
Aag Hi Aag,1987.0,170.0,1,5.3,93.0,2617,632,Shatrughan Sinha,Moushumi Chatterjee
Aag Ka Dariya,1990.0,0.0,1,4.2,22.0,2352,412,Rajiv Kapoor,Padmini Kolhapure
Aag Ka Gola,1990.0,180.0,39,4.8,101.0,630,2271,Dimple Kapadia,Archana Puran Singh
Aag Ka Toofaan,1993.0,137.0,1,4.8,21.0,1234,632,Sadashiv Amrapurkar,Asrani
Aag Ke Sholay,1988.0,138.0,84,3.4,7.0,2341,498,Hemant Birje,Sudhir Dalvi
Aag Laga Do Sawan Ko,1991.0,0.0,327,5.7,7.0,293,1812,Kuldeep Mallik,Harish Patel
Aag Se Khelenge,1989.0,151.0,1,5.0,52.0,2731,469,Jeetendra,Anil Kapoor
Aagaah: The Warning,2011.0,0.0,313,3.6,23.0,1253,839,Anang Desai,Zakir Hussain
Aage Badho,1947.0,0.0,269,6.0,6.0,3109,617,Madhu Apte,Khurshid Begum
Aage Ki Soch,1988.0,0.0,162,4.8,30.0,616,2051,Huma Khan,Dada Kondke
Aage Maut Peeche Maut,2001.0,78.0,363,3.1,7.0,19,1135,Vimal Raj,Shakila
Aagey Se Right,2009.0,117.0,165,5.0,381.0,985,2122,Mahie Gill,Karan Veer Mehra
Aaghaaz,2000.0,153.0,29,4.2,274.0,3116,2267,Sushmita Sen,Namrata Shirodkar
Aagman,1982.0,0.0,269,4.8,8.0,1623,1248,Bharat Bhushan,Rajina Raj Bisaria
Aah,1953.0,150.0,320,7.2,275.0,2033,1401,Raj Kapoor,Vijayalaxmi
Aahat - Ek Ajeeb Kahani,1971.0,0.0,427,6.4,10.0,1306,903,Ramesh Deo,Dharmendra
Aahuti,1978.0,135.0,39,6.0,25.0,387,1696,Shashi Kapoor,Rakesh Roshan
Aaina,1993.0,149.0,327,6.0,448.0,657,871,Juhi Chawla,Amrita Singh
Aaina,1977.0,150.0,269,6.8,94.0,1146,1358,Rajesh Khanna,A.K. Hangal
Aaina,1944.0,0.0,327,3.2,5.0,2335,833,Sulochana Chatterjee,Gope
Aaj,1987.0,116.0,269,5.5,281.0,1423,1668,Smita Patil,Raj Kiran
Aaj Aur Kal,1947.0,0.0,212,4.1,8.0,1292,1430,Shyam,Rashid Ahmed
Aaj Aur Kal,1963.0,144.0,327,5.6,52.0,2976,377,Sunil Dutt,Nanda
Aaj Ka Aladdin,1935.0,0.0,0,6.0,5.0,1649,0,0,0
Aaj Ka Andha Kanoon,2003.0,46.0,1,3.1,15.0,195,2232,Priyanka Upendra,Aman Jalali
Aaj Ka Arjun,1990.0,164.0,29,4.7,586.0,1172,207,Jaya Prada,Radhika Sarathkumar
Aaj Ka Daur,1985.0,153.0,39,5.1,40.0,1147,871,Padmini Kolhapure,Nirupa Roy
Aaj Ka Gang Leader,1993.0,0.0,1,5.6,29.0,1310,462,Chiranjeevi,Radha
Aaj Ka Goonda Raaj,1992.0,147.0,84,5.3,144.0,2223,551,Meenakshi Sheshadri,Raj Babbar
Aaj Ka Gunda,2001.0,0.0,84,4.7,23.0,1234,632,Mohan Joshi,Shakti Kapoor
Aaj Ka Gunda Raaj,2006.0,0.0,1,6.0,46.0,1421,2326,Gulshan Grover,Milind Gunaji
